DATE, TIME, Temperature, Pressure, Humidity, Alititude, Ax, Ay, Az, Gx, Gy, Gz, roll, pitch, KalmanX, KalmanY, state
2026-07-10, 00:01:02, 22.25, 990.90, 46.37, 187.76, -0.00, 0.00, -1.00, 0.57, 0.99, -0.41, 0.08, 179.94, 0.08, -0.06, STABLE
2026-07-10, 00:01:04, 22.27, 990.89, 45.74, 187.84, 0.00, -0.01, -0.99, 0.40, 0.92, -0.43, -0.36, -179.86, -0.36, 0.14, STABLE
2026-07-10, 00:01:06, 22.28, 990.87, 45.29, 188.03, 0.00, -0.00, -1.00, 0.39, 0.96, -0.58, -0.19, -179.87, -0.19, 0.13, STABLE
2026-07-10, 00:01:08, 22.28, 990.85, 45.13, 188.15, -0.14, 0.09, -1.32, -0.58, 3.30, 110.16, 4.10, 174.06, 4.10, -5.94, MOVING
2026-07-10, 00:01:11, 22.29, 990.85, 44.97, 188.21, 0.02, 0.03, -1.04, 0.53, 0.69, -0.34, 1.83, -178.74, 1.83, 1.26, STABLE
2026-07-10, 00:01:17, 22.24, 990.86, 45.25, 188.08, -0.02, -0.04, -0.98, 0.22, 0.73, 0.20, -2.50, 178.89, -2.50, -1.11, STABLE
2026-07-10, 00:08:54, 22.43, 990.84, 45.95, 188.28, 0.00, 0.00, -1.00, 0.51, 0.95, -0.34, 0.01, -179.99, 0.01, 0.01, STABLE
2026-07-10, 00:08:56, 22.46, 990.85, 45.87, 188.17, -0.00, -0.00, -1.00, 0.53, 0.88, -0.37, -0.11, 179.87, -0.11, -0.13, STABLE
2026-07-10, 00:08:58, 22.48, 990.85, 45.78, 188.14, -0.00, -0.00, -1.00, 0.53, 0.92, -0.27, -0.06, 179.94, -0.06, -0.06, STABLE
2026-07-10, 00:09:01, 22.49, 990.86, 45.73, 188.14, -0.00, -0.01, -1.00, 0.33, 0.86, -0.27, -0.29, 179.91, -0.29, -0.09, STABLE
2026-07-10, 00:09:03, 22.50, 990.86, 45.72, 188.12, -0.00, -0.01, -1.00, 0.37, 1.12, -0.50, -0.36, 179.84, -0.36, -0.16, STABLE
2026-07-10, 00:09:05, 22.50, 990.86, 45.73, 188.12, 0.01, -0.06, -0.85, -0.14, 2.15, -0.07, -4.23, -179.30, -4.23, 0.70, STABLE
2026-07-10, 00:09:07, 22.51, 990.87, 45.82, 188.04, -0.01, -0.00, -1.00, -0.59, 2.31, -0.40, -0.13, 179.63, -0.13, -0.37, STABLE
2026-07-10, 00:09:16, 22.46, 990.88, 46.31, 187.96, 0.00, -0.01, -0.99, -0.03, 0.00, 0.12, -0.30, -180.00, -0.30, 0.00, STABLE
2026-07-10, 00:09:18, 22.49, 990.87, 46.46, 188.00, 0.00, -0.01, -1.00, 0.04, 0.00, 0.01, -0.34, -179.86, -0.34, 0.14, STABLE
2026-07-10, 00:09:20, 22.51, 990.87, 46.60, 188.00, -0.00, 0.00, -1.00, 0.21, 0.11, 0.03, 0.11, 179.79, 0.11, -0.21, STABLE
2026-07-10, 00:09:22, 22.52, 990.87, 46.54, 188.03, 0.00, -0.01, -1.00, 0.27, -0.25, 0.12, -0.31, -179.82, -0.31, 0.18, STABLE
2026-07-10, 00:09:25, 22.52, 990.87, 46.57, 188.00, 0.00, -0.00, -1.00, 0.05, -0.02, 0.17, -0.06, -179.97, -0.06, 0.03, STABLE
2026-07-10, 00:09:27, 22.52, 990.87, 46.60, 187.99, 0.00, -0.00, -1.00, -0.02, -0.15, 0.07, -0.15, -179.98, -0.15, 0.02, STABLE
2026-07-10, 00:09:29, 22.53, 990.87, 46.41, 188.00, 0.00, 0.00, -1.00, -0.02, 0.15, 0.33, 0.14, -179.98, 0.14, 0.02, STABLE
2026-07-10, 00:09:32, 22.53, 990.88, 46.11, 187.92, 0.00, -0.00, -1.00, 0.11, 0.08, 0.02, -0.01, -179.93, -0.01, 0.07, STABLE
2026-07-10, 00:09:34, 22.53, 990.88, 45.72, 187.89, -0.00, -0.00, -1.01, 0.09, -0.28, -0.02, -0.10, 179.93, -0.10, -0.07, STABLE
2026-07-10, 00:09:36, 22.53, 990.89, 45.42, 187.81, -0.00, 0.00, -0.99, 0.26, 0.02, -0.02, 0.18, 179.78, 0.18, -0.22, STABLE
2026-07-10, 00:09:38, 22.54, 990.89, 45.27, 187.82, 0.00, -0.00, -1.01, 0.44, 0.11, -0.06, -0.13, -179.94, -0.13, 0.06, STABLE
2026-07-10, 00:09:41, 22.54, 990.89, 45.22, 187.87, -0.00, 0.00, -1.00, -0.05, -0.15, 0.03, 0.00, 179.85, 0.00, -0.15, STABLE
2026-07-10, 00:09:43, 22.54, 990.89, 45.17, 187.85, 0.00, -0.00, -1.00, -0.04, 0.02, 0.25, -0.11, -179.98, -0.11, 0.02, STABLE
2026-07-10, 00:09:45, 22.54, 990.89, 45.11, 187.84, -0.00, -0.00, -1.00, 0.02, -0.06, 0.19, -0.17, 179.99, -0.17, -0.01, STABLE
2026-07-10, 00:09:47, 22.55, 990.89, 45.23, 187.82, 0.00, -0.00, -1.00, 0.08, -0.03, 0.02, -0.15, -179.97, -0.15, 0.03, STABLE
2026-07-10, 00:09:50, 22.55, 990.88, 44.88, 187.92, 0.00, -0.00, -1.00, -0.05, -0.11, -0.07, -0.01, -179.93, -0.01, 0.07, STABLE
2026-07-10, 00:00:13, 22.52, 990.88, 44.71, 187.90, -0.00, -0.00, -1.00, 0.59, 1.22, -0.48, -0.05, 179.95, -0.05, -0.05, STABLE
2026-07-10, 00:00:15, 22.55, 990.89, 44.77, 187.88, -0.01, 0.00, -1.00, 0.48, 1.25, -0.27, 0.09, 179.66, 0.09, -0.34, STABLE
2026-07-10, 00:00:18, 22.57, 990.89, 44.75, 187.83, 0.00, 0.00, -1.00, 0.43, 1.08, -0.37, 0.19, -179.92, 0.19, 0.08, STABLE
2026-07-10, 00:00:20, 22.58, 990.88, 44.65, 187.90, -0.00, -0.00, -0.99, 0.84, 0.93, -0.12, -0.05, 179.91, -0.05, -0.09, STABLE
2026-07-10, 00:00:25, 22.55, 990.89, 44.59, 187.82, -0.00, -0.00, -1.00, 0.08, -0.05, 0.21, -0.12, 179.94, -0.12, -0.06, STABLE
2026-07-10, 00:00:28, 22.58, 990.89, 44.54, 187.80, -0.00, -0.00, -1.00, -0.18, -0.05, -0.14, -0.11, 179.96, -0.11, -0.04, STABLE
2026-07-10, 00:00:30, 22.59, 990.88, 44.51, 187.91, 0.00, -0.00, -1.00, -0.17, -0.02, -0.19, -0.12, -179.93, -0.12, 0.07, STABLE
2026-07-10, 00:00:32, 22.60, 990.88, 44.47, 187.90, 0.00, -0.00, -1.00, 0.00, -0.01, 0.42, -0.06, -179.86, -0.06, 0.14, STABLE
2026-07-10, 00:00:35, 22.61, 990.88, 44.41, 187.89, 0.00, -0.00, -1.00, 0.04, -0.02, -0.02, -0.09, -179.93, -0.09, 0.07, STABLE
2026-07-10, 00:00:37, 22.61, 990.88, 44.35, 187.93, -0.00, -0.00, -1.00, -3.01, 4.35, 0.05, -0.27, 179.86, -0.27, -0.14, STABLE
2026-07-10, 00:01:05, 22.56, 990.89, 45.15, 187.83, 0.00, -0.00, -1.01, -0.14, -0.19, 0.00, -0.01, -179.78, -0.01, 0.22, STABLE
2026-07-10, 00:01:07, 22.58, 990.90, 45.58, 187.76, -0.00, 0.00, -1.01, 0.10, -0.05, 0.02, 0.03, 179.98, 0.03, -0.02, STABLE
2026-07-10, 00:01:09, 22.60, 990.90, 45.98, 187.78, -0.01, -0.01, -1.00, -1.97, 2.28, -0.26, -0.29, 179.42, -0.29, -0.58, STABLE
2026-07-10, 00:01:20, 22.56, 990.94, 46.94, 187.40, -0.00, -0.00, -1.00, -0.09, -0.21, 0.10, -0.06, 179.85, -0.06, -0.15, STABLE
2026-07-10, 00:01:23, 22.59, 990.93, 46.88, 187.51, 0.00, -0.00, -0.99, -0.04, 0.19, -0.07, -0.23, -179.88, -0.23, 0.12, STABLE
2026-07-10, 00:01:25, 22.60, 990.93, 46.65, 187.53, 0.00, -0.00, -1.00, -0.17, 0.04, -0.02, -0.02, -179.86, -0.02, 0.14, STABLE
2026-07-10, 00:01:27, 22.60, 990.93, 46.60, 187.52, 0.00, -0.00, -1.00, 0.16, 0.08, 0.10, -0.08, -179.91, -0.08, 0.09, STABLE
2026-07-10, 00:01:29, 22.60, 990.92, 46.37, 187.55, 0.00, 0.00, -1.00, 0.19, 0.03, 0.21, 0.01, -179.81, 0.01, 0.19, STABLE
2026-07-10, 00:01:32, 22.60, 990.92, 45.66, 187.59, -0.00, -0.00, -1.00, -0.11, 0.14, 0.02, -0.04, 179.91, -0.04, -0.09, STABLE
2026-07-10, 00:01:34, 22.59, 990.91, 45.29, 187.66, 0.00, 0.00, -1.00, -0.02, -0.05, -0.01, 0.15, -179.88, 0.15, 0.12, STABLE
2026-07-10, 00:01:36, 22.59, 990.92, 45.27, 187.62, 0.00, 0.00, -1.00, 0.15, 0.10, 0.06, 0.15, -179.82, 0.15, 0.18, STABLE
2026-07-10, 00:01:38, 22.59, 990.91, 45.18, 187.66, 0.00, 0.00, -1.00, -0.05, 0.16, 0.16, 0.26, -179.94, 0.26, 0.06, STABLE
2026-07-10, 00:01:41, 22.58, 990.91, 45.12, 187.70, 0.01, 0.00, -1.00, -0.03, 0.10, 0.08, 0.06, -179.70, 0.06, 0.30, STABLE
2026-07-10, 00:01:43, 22.58, 990.90, 44.93, 187.75, 0.00, 0.01, -1.00, 0.08, -0.05, 0.18, 0.29, -179.80, 0.29, 0.20, STABLE
2026-07-10, 00:01:45, 22.58, 990.90, 44.73, 187.79, 0.00, 0.00, -0.99, -0.05, 0.24, 0.02, 0.15, -179.98, 0.15, 0.02, STABLE
2026-07-10, 00:01:47, 22.57, 990.90, 44.63, 187.75, 0.00, 0.00, -1.00, 0.02, -0.03, -0.09, 0.23, -179.95, 0.23, 0.05, STABLE
2026-07-10, 00:01:50, 22.57, 990.90, 44.71, 187.74, 0.00, -0.00, -1.00, -0.05, -0.14, -0.03, -0.20, -179.94, -0.20, 0.06, STABLE
